source_file,card_id,card_name,status,output_path,source_cdb
c10000.lua,10000,Ten Thousand Dragon,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ten_Thousand_Dragon.lua,cards.cdb
c10000000.lua,10000000,Obelisk the Tormentor,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Obelisk_the_Tormentor.lua,cards.cdb
c10000010.lua,10000010,The Winged Dragon of Ra,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\The_Winged_Dragon_of_Ra.lua,cards.cdb
c10000020.lua,10000020,Slifer the Sky Dragon,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Slifer_the_Sky_Dragon.lua,cards.cdb
c10000030.lua,10000030,Magi Magi ☆ Magician Gal,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Magi_Magi_☆_Magician_Gal.lua,cards.cdb
c10000040.lua,10000040,Holactie the Creator of Light,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Holactie_the_Creator_of_Light.lua,cards.cdb
c10000080.lua,10000080,The Winged Dragon of Ra - Sphere Mode,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\The_Winged_Dragon_of_Ra_-_Sphere_Mode.lua,cards.cdb
c10000090.lua,10000090,The Winged Dragon of Ra - Immortal Phoenix,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\The_Winged_Dragon_of_Ra_-_Immortal_Phoenix.lua,cards.cdb
c10002346.lua,10002346,Gachi Gachi Gantetsu,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Gachi_Gachi_Gantetsu.lua,cards.cdb
c10004783.lua,10004783,Crystal Release,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Crystal_Release.lua,cards.cdb
c10012614.lua,10012614,Banner of Courage,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Banner_of_Courage.lua,cards.cdb
c10019086.lua,10019086,Tri-Brigade Arms Bucephalus II,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Tri-Brigade_Arms_Bucephalus_II.lua,cards.cdb
c100200292.lua,100200292,Thoroughbred Elf,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Thoroughbred_Elf.lua,test-release.cdb
c100200293.lua,100200293,Assault Lion,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Assault_Lion.lua,test-release.cdb
c100200294.lua,100200294,Power Connection,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Power_Connection.lua,test-release.cdb
c100200295.lua,100200295,Evil Lord - Zorc,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Evil_Lord_-_Zorc.lua,test-release.cdb
c10024317.lua,10024317,Parametalfoes Melcaster,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Parametalfoes_Melcaster.lua,cards.cdb
c100260001.lua,100260001,Clown Crew Cappello,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Clown_Crew_Cappello.lua,test-release.cdb
c100263001.lua,100263001,Dark Tyranno,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Dark_Tyranno.lua,test-release.cdb
c100263002.lua,100263002,Arcana Force XII - The Hangman,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Arcana_Force_XII_-_The_Hangman.lua,test-release.cdb
c100263003.lua,100263003,"Candelato, the Beast of Light",written,"C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Candelato,_the_Beast_of_Light.lua",test-release.cdb
c100263004.lua,100263004,Plasma Warrior Eitom,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Plasma_Warrior_Eitom.lua,test-release.cdb
c100263005.lua,100263005,White Knight Lord,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\White_Knight_Lord.lua,test-release.cdb
c100263006.lua,100263006,Invincible Demise Lord,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Invincible_Demise_Lord.lua,test-release.cdb
c100263007.lua,100263007,Elemental HERO Clay Guardian,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Elemental_HERO_Clay_Guardian.lua,test-release.cdb
c100263008.lua,100263008,Doll Hammer,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Doll_Hammer.lua,test-release.cdb
c100263009.lua,100263009,Quick Summon,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Quick_Summon.lua,test-release.cdb
c100263010.lua,100263010,D - Burst,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\D_-_Burst.lua,test-release.cdb
c100265002.lua,100265002,Witchcrafter Seed,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Witchcrafter_Seed.lua,test-release.cdb
c100266001.lua,100266001,Ancient Secrets,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ancient_Secrets.lua,test-release.cdb
c100266002.lua,100266002,Mind Mirror Force,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Mind_Mirror_Force.lua,test-release.cdb
c100266003.lua,100266003,Emissaries from Darkness,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Emissaries_from_Darkness.lua,test-release.cdb
c100266004.lua,100266004,Dark Armed Dragon Punisher,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Dark_Armed_Dragon_Punisher.lua,test-release.cdb
c100266005.lua,100266005,"Ekhajar, Descendant Dragon of the Ice Barrier",written,"C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Ekhajar,_Descendant_Dragon_of_the_Ice_Barrier.lua",test-release.cdb
c10026986.lua,10026986,Worm King,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Worm_King.lua,cards.cdb
c10028593.lua,10028593,Reborn Tengu,written,C:/Users/Yagor/PycharmProjectsPRO/ygopro_script_renamer\named_scripts\Reborn_Tengu.lua,cards.cdb
